hl;pot;vaz;rend
46.6485874476612;81.9263541368757;230.71969098216;78
46.8398744388807;82.4498871746274;231.245810819188;78
47.0311549706323;82.9456641522362;231.690152434428;78
47.2279635765301;83.385817934053;231.948999713222;78
47.4220146048227;83.8815393739087;232.373137811031;78
47.6133080555101;84.4328284718034;232.960619461789;78
47.8046015061975;84.984117569698;233.543399414859;78
47.9958820379491;85.4798945473068;233.969652970982;78
48.1871625697007;85.9756715249156;234.392522471995;78
48.3812071385254;86.4436369046284;234.72311545174;78
48.5752452478823;86.8838462241984;234.976032595007;78
48.7692833572391;87.3240555437683;235.226937177871;78
48.9633279260638;87.7920209234811;235.550292931256;78
49.1601365319616;88.2321747052979;235.783512808047;78
49.3541746413184;88.6723840248678;236.02826930233;78
49.5482127506752;89.1125933444377;236.271108791547;78
